text,date,true_topic
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-01,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-02,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-01-02,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-03,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-01-04,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-01-05,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-05,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-01-06,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-01-07,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-01-08,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-01-09,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-10,기술
화상회의 플랫폼 사용이 급증했다,2019-01-10,재택근무
화상회의 플랫폼 사용이 급증했다,2019-01-11,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-01-11,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-12,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-01-12,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-01-15,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-16,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-01-17,경제
화상회의 플랫폼 사용이 급증했다,2019-01-17,재택근무
수출이 증가하며 무역 흑자가 확대되었다,2019-01-18,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-20,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-01-22,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-01-22,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-01-23,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-01-25,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-01-29,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-02-03,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-02-06,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-02-06,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-02-07,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-02-07,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-02-08,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-02-08,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-02-08,재택근무
수출이 증가하며 무역 흑자가 확대되었다,2019-02-10,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-02-16,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-02-16,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-02-16,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-02-18,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-02-20,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-02-23,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-02-24,경제
화상회의 플랫폼 사용이 급증했다,2019-02-24,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-02-27,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-03-02,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-03-02,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-03-02,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-03-03,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-03-04,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-03-06,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-03-08,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-03-08,기술
화상회의 플랫폼 사용이 급증했다,2019-03-10,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-03-14,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-03-16,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-03-17,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-03-19,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-03-21,기술
화상회의 플랫폼 사용이 급증했다,2019-03-22,재택근무
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-03-23,재택근무
화상회의 플랫폼 사용이 급증했다,2019-03-23,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-03-27,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-03-28,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-03-28,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-03-28,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-03-29,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-04-01,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-04-02,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-04-02,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-04-05,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-04-05,경제
화상회의 플랫폼 사용이 급증했다,2019-04-06,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-04-08,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-04-08,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-04-09,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-04-09,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-04-12,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-04-14,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-04-15,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-04-16,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-04-17,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-04-18,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-04-21,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-04-21,재택근무
수출이 증가하며 무역 흑자가 확대되었다,2019-04-21,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-04-24,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-04-24,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-04-24,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-04-25,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-04-27,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-04-29,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-05-02,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-05-02,경제
화상회의 플랫폼 사용이 급증했다,2019-05-02,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-05-03,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-05-04,경제
화상회의 플랫폼 사용이 급증했다,2019-05-06,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-05-08,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-05-08,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-05-08,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-05-09,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-05-09,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-05-10,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-05-10,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-05-11,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-05-13,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-05-14,재택근무
수출이 증가하며 무역 흑자가 확대되었다,2019-05-14,경제
화상회의 플랫폼 사용이 급증했다,2019-05-15,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-05-16,기술
화상회의 플랫폼 사용이 급증했다,2019-05-18,재택근무
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-05-19,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-05-21,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-05-23,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-05-23,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-05-23,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-05-24,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-05-25,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-05-27,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-05-28,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-05-29,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-05-29,경제
화상회의 플랫폼 사용이 급증했다,2019-05-31,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-05-31,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-06-01,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-06-04,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-06-04,경제
화상회의 플랫폼 사용이 급증했다,2019-06-05,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-06-06,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-06-08,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-06-10,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-06-11,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-06-11,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-06-14,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-06-19,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-06-21,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-06-22,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-06-26,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-06-26,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-06-30,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-07-02,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-07-02,기술
화상회의 플랫폼 사용이 급증했다,2019-07-05,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-07-06,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-07-06,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-07-07,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-07-09,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-07-09,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-07-09,경제
화상회의 플랫폼 사용이 급증했다,2019-07-13,재택근무
수출이 증가하며 무역 흑자가 확대되었다,2019-07-15,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-07-17,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-07-18,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-07-21,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-07-22,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-07-24,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-07-24,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-07-28,경제
화상회의 플랫폼 사용이 급증했다,2019-07-29,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-07-30,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-08-02,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-08-04,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-04,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-05,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-05,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-11,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-08-14,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-08-14,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-08-15,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-16,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-19,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-19,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-08-20,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-08-23,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-08-25,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-08-25,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-08-26,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-08-30,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-08-30,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-09-01,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-02,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-09-03,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-09-04,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-06,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-07,기술
화상회의 플랫폼 사용이 급증했다,2019-09-10,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-11,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-09-15,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-09-16,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-09-18,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-18,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-20,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-21,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-09-23,재택근무
인공지능 기술이 다양한 산업에 적용되고 있다,2019-09-25,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-09-30,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-10-01,기술
화상회의 플랫폼 사용이 급증했다,2019-10-03,재택근무
인공지능 기술이 다양한 산업에 적용되고 있다,2019-10-06,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-10-07,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-10-07,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-10-11,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-10-13,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-10-16,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-10-16,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-10-22,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-10-29,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-10-30,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-10-31,기술
화상회의 플랫폼 사용이 급증했다,2019-11-01,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-11-04,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-11-05,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-11-07,재택근무
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-11-07,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-11-08,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-11-09,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-11-10,재택근무
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-11-11,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-11-13,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-11-14,기술
수출이 증가하며 무역 흑자가 확대되었다,2019-11-14,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-11-17,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-11-20,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-11-23,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-11-25,재택근무
인공지능 기술이 다양한 산업에 적용되고 있다,2019-11-27,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-11-30,재택근무
수출이 증가하며 무역 흑자가 확대되었다,2019-11-30,경제
화상회의 플랫폼 사용이 급증했다,2019-12-01,재택근무
인공지능 기술이 다양한 산업에 적용되고 있다,2019-12-01,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-12-02,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-12-02,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-12-03,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-12-04,재택근무
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-12-04,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-12-05,기술
인공지능 기술이 다양한 산업에 적용되고 있다,2019-12-05,기술
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-12-06,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-12-07,경제
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-12-08,경제
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-12-15,재택근무
수출이 증가하며 무역 흑자가 확대되었다,2019-12-16,경제
수출이 증가하며 무역 흑자가 확대되었다,2019-12-16,경제
인공지능 기술이 다양한 산업에 적용되고 있다,2019-12-19,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-12-19,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-12-20,기술
재택근무가 확산되며 업무 환경이 변화하고 있다,2019-12-22,재택근무
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-12-22,기술
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-12-23,경제
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2019-12-26,기술
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2019-12-29,경제
중앙은행이 기준금리를 동결하며 경제 안정을 도모했다,2019-12-30,경제
화상회의 플랫폼 사용이 급증했다,2020-01-01,재택근무
코로나19 확진자가 급증하며 방역 조치가 강화되었다,2020-01-06,코로나
코로나19 확진자가 급증하며 방역 조치가 강화되었다,2020-01-09,코로나
스마트폰 신제품이 출시되며 소비자 관심이 집중되었다,2020-01-09,기술
사회적 거리두기로 인해 자영업자들이 어려움을 겪고 있다,2020-01-09,코로나
백신 접종이 시작되며 집단 면역에 대한 기대가 높아졌다,2020-01-10,코로나
인공지능 기술이 다양한 산업에 적용되고 있다,2020-01-12,기술
백신 접종이 시작되며 집단 면역에 대한 기대가 높아졌다,2020-01-13,코로나
주식 시장이 상승세를 보이며 투자자들의 관심이 높아지고 있다,2020-01-15,경제
사회적 거리두기로 인해 자영업자들이 어려움을 겪고 있다,2020-01-16,코로나
백신 접종이 시작되며 집단 면역에 대한 기대가 높아졌다,2020-01-20,코로나
화상회의 플랫폼 사용이 급증했다,2020-01-23,재택근무
화상회의 플랫폼 사용이 급증했다,2020-01-25,재택근무
화상회의 플랫폼 사용이 급증했다,2020-01-28,재택근무
인공지능 기술이 다양한 산업에 적용되고 있다,2020-01-31,기술
사회적 거리두기로 인해 자영업자들이 어려움을 겪고 있다,2020-01-31,코로나
